QUESTION,STATION,TRANSECT,ROCK,HARVEST,LENGTH_M,START_X,START_Y,END_X,END_Y,LABEL,PRIMARY,NUMTRANSECTS,TRANSECTPOSITION
2,LCO12,6,ROCK,N,27.16947743,295455.9826,3238032.784,,,LCO12-6,1,4,1
2,LCO12,7,ROCK,N,27.16947743,295455.9826,3238032.784,,,LCO12-7,1,4,2
2,LCO12,9,ROCK,N,27.16947743,295455.9826,3238032.784,,,LCO12-9,1,4,4
2,LCO12,10,ROCK,N,27.16947743,295455.9826,3238032.784,,,LCO12-10,1,4,5
2,LCO13,7,ROCK,N,27.16947743,295556.3459,3237897.331,,,LCO13-7,1,4,2
2,LCO13,8,ROCK,N,27.16947743,295556.3459,3237897.331,,,LCO13-8,1,4,3
2,LCO13,9,ROCK,N,27.16947743,295556.3459,3237897.331,,,LCO13-9,2,4,4
2,LCO13,10,ROCK,N,27.16947743,295556.3459,3237897.331,,,LCO13-10,2,4,5
2,LCO10B,5,ROCK,N,27.16947743,295147.0453,3238443.753,,,LCO10B-5,2,5,1
2,LCO10B,6,ROCK,N,27.16947743,295147.0453,3238443.753,,,LCO10B-6,2,5,2
2,LCO10B,7,ROCK,N,27.16947743,295147.0453,3238443.753,,,LCO10B-7,2,5,3
2,LCO10B,8,ROCK,N,27.16947743,295147.0453,3238443.753,,,LCO10B-8,2,5,4
